bID,CURRENT_ENERGY_EFFICIENCY,hotwater_roof_windows-Cost,hotwater_roof_windows-Eff,hotwater_roof_windows-Diff,hotwater_roof_windows-Score,windows-Cost,windows-Eff,windows-Diff,windows-Score,envelopes-Cost,envelopes-Eff,envelopes-Diff,envelopes-Score,hotwater_windows-Cost,hotwater_windows-Eff,hotwater_windows-Diff,hotwater_windows-Score,envelopes_windows-Cost,envelopes_windows-Eff,envelopes_windows-Diff,envelopes_windows-Score,envelopes_roof_windows-Cost,envelopes_roof_windows-Eff,envelopes_roof_windows-Diff,envelopes_roof_windows-Score,envelopes_hotwater_roof-Cost,envelopes_hotwater_roof-Eff,envelopes_hotwater_roof-Diff,envelopes_hotwater_roof-Score,roof-Cost,roof-Eff,roof-Diff,roof-Score,envelopes_roof-Cost,envelopes_roof-Eff,envelopes_roof-Diff,envelopes_roof-Score,hotwater-Cost,hotwater-Eff,hotwater-Diff,hotwater-Score,hotwater_roof-Cost,hotwater_roof-Eff,hotwater_roof-Diff,hotwater_roof-Score,envelopes_hotwater-Cost,envelopes_hotwater-Eff,envelopes_hotwater-Diff,envelopes_hotwater-Score,envelopes_hotwater_windows-Cost,envelopes_hotwater_windows-Eff,envelopes_hotwater_windows-Diff,envelopes_hotwater_windows-Score,envelopes_hotwater_roof_windows-Cost,envelopes_hotwater_roof_windows-Eff,envelopes_hotwater_roof_windows-Diff,envelopes_hotwater_roof_windows-Score,roof_windows-Cost,roof_windows-Eff,roof_windows-Diff,roof_windows-Score,as_built-Cost,as_built-Eff,as_built-Diff,as_built-Score
3187,70,9854,76,6,1642,4016,72,2,2008,1500,72,2,750,6816,74,4,1704,5516,72,2,2758,8554,74,4,2138,7337,76,6,1222,3037,75,5,607,4537,74,4,1134,2800,74,4,700,5837,77,7,833,4300,74,4,1075,8316,74,4,2079,11354,76,6,1892,7054,75,5,1410,0,0,0,0
5020,66,12425,68,2,6212,-1,-1,-1,-1,4600,69,3,1533,-1,-1,-1,-1,9012,69,3,3004,14225,74,8,1778,12612,76,10,1261,-1,-1,-1,-1,9812,73,7,1401,-1,-1,-1,-1,8012,68,2,4006,7400,72,6,1233,11812,72,6,1968,17025,77,11,1547,-1,-1,-1,-1,0,0,0,0
3648,53,10154,63,10,1015,4016,54,1,4016,2700,65,12,225,6816,58,5,1363,6716,65,12,559,10054,71,18,558,8837,74,21,420,3337,60,7,476,6037,71,18,335,2800,58,5,560,6137,63,10,613,5500,68,15,366,9516,68,15,634,12854,74,21,612,7354,60,7,1050,0,0,0,0
36292,63,9207,73,10,920,2432,65,2,1216,1500,64,1,1500,5232,71,8,654,3932,65,2,1966,7907,69,6,1317,8275,73,10,827,3975,66,3,1325,5475,67,4,1368,2800,70,7,400,6775,73,10,677,4300,70,7,614,6732,71,8,841,10707,73,10,1070,6407,68,5,1281,0,0,0,0
40049,52,11600,60,8,1450,4412,56,4,1103,2700,62,10,270,7212,58,6,1202,7112,62,10,711,11500,68,16,718,9887,71,19,520,4387,58,6,731,7087,68,16,442,2800,58,6,466,7187,60,8,898,5500,65,13,423,9912,65,13,762,14300,71,19,752,8800,58,6,1466,0,0,0,0
17916,68,10508,75,7,1501,-1,-1,-1,-1,1500,69,1,1500,6420,71,3,2140,5120,69,1,5120,9208,72,4,2302,8387,75,7,1198,4087,71,3,1362,5587,72,4,1396,2800,71,3,933,6887,74,6,1147,4300,71,3,1433,7920,71,3,2640,12008,75,7,1715,7708,72,4,1927,0,0,0,0
39357,70,10341,72,2,5170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9025,72,2,4512,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6325,72,2,3162,-1,-1,-1,-1,-1,-1,-1,-1,13041,73,3,4347,-1,-1,-1,-1,0,0,0,0
22722,36,-1,-1,-1,-1,-1,-1,-1,-1,2700,44,8,337,-1,-1,-1,-1,5924,44,8,740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
724,67,-1,-1,-1,-1,-1,-1,-1,-1,1500,68,1,1500,-1,-1,-1,-1,3140,68,1,3140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
30357,70,-1,-1,-1,-1,1640,74,4,410,1500,73,3,500,4440,76,6,740,3140,73,3,1046,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2800,76,6,466,-1,-1,-1,-1,4300,76,6,716,5940,76,6,990,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
